"";"fileLastModified";"fileInfo/fileLastModified"
"size of file";"fileSize";"fileInfo/fileSizeInBytes"
"";"fileSizeInBytes";"fileInfo/fileSizeInBytes"
"";"ImageWidth";"jp2HeaderBox/imageHeaderBox/height"
"";"ImageHeight";"jp2HeaderBox/imageHeaderBox/width"
"";"colorDepth";"contiguousCodestreamBox/siz/ssizDepth"
"";"numOfChannels";"jp2HeaderBox/imageHeaderBox/nC"
"";"colorSpace";"properties/jp2HeaderBox/colourSpecificationBox/enumCS"
"";"numOfDecompositionLevels";"contiguousCodestreamBox/cod/levels"
"";"numOfQualityLayers";"contiguousCodestreamBox/cod/layers"
"";"resolutionInPixelsPerInch";"jp2HeaderBox/resolutionBox/displayResolutionBox/vResdInPixelsPerInch"
"";"displayResolutionInPixelsPerInch";"jp2HeaderBox/resolutionBox/displayResolutionBox/hResdInPixelsPerInch"
"";"displayResolutionInPixelsPerInch";"jp2HeaderBox/resolutionBox/displayResolutionBox/hResdInPixelsPerInch"
"";"wellFormedAndValid";"isValidJP2"
"";"imageStyleFormat";"properties/jp2HeaderBox/imageHeaderBox/c"
"";"uuid";"properties/uuidBox/uuid"
"";"commentary";"contiguousCodestreamBox/com/comment"
"";"numberOfTiles";"contiguousCodestreamBox/siz/numberOfTiles"
